as_of,country,composite,band_lo,band_hi,internal_order,debt_money,external_order
2026-07-03T16:01:46Z,US,4.414,3.961,4.866,4.909,4.103,4.057
2026-07-03T16:56:20Z,US,4.445,3.804,5.086,4.606,4.538,4.057
2026-07-03T19:21:09Z,US,4.534,3.856,5.213,4.673,4.650,4.150
2026-07-03T19:31:43Z,US,4.534,3.856,5.213,4.673,4.650,4.150
2026-07-03T19:57:56Z,US,4.534,3.856,5.213,4.673,4.650,4.150
2026-07-03T20:01:24Z,US,4.534,3.856,5.213,4.673,4.650,4.150
2026-07-03T21:26:19Z,US,4.469,3.807,5.132,4.673,4.547,4.034
2026-07-03T22:04:15Z,US,4.493,3.838,5.148,4.733,4.547,4.034
2026-07-04T13:46:58Z,US,4.493,3.838,5.148,4.733,4.547,4.034
2026-07-04T14:16:00Z,US,4.493,3.838,5.148,4.733,4.547,4.034
2026-07-04T15:36:43Z,US,4.496,3.844,5.149,4.733,4.556,4.034
2026-07-04T15:44:45Z,US,4.496,3.844,5.149,4.733,4.556,4.034
2026-07-04T16:46:27Z,US,4.496,3.844,5.149,4.733,4.556,4.034
2026-07-04T17:04:06Z,US,4.496,3.844,5.149,4.733,4.556,4.034
2026-07-04T18:57:56Z,US,4.525,3.873,5.178,4.733,4.556,4.150
2026-07-06T10:48:38Z,US,4.496,3.844,5.149,4.733,4.556,4.034
2026-07-08T19:23:16Z,US,4.527,3.890,5.164,4.810,4.556,4.034
2026-07-08T19:35:55Z,US,4.558,3.921,5.195,4.810,4.556,4.158
2026-07-13T09:38:03Z,US,4.558,3.922,5.194,4.810,4.557,4.158
2026-07-20T09:25:10Z,US,4.609,3.932,5.285,4.936,4.556,4.158
2026-07-27T10:02:54Z,US,4.643,3.966,5.319,4.936,4.557,4.294
2026-08-03T09:57:07Z,US,4.641,3.963,5.319,4.936,4.551,4.294
2026-08-10T07:51:43Z,US,4.612,3.934,5.290,4.936,4.552,4.177
2026-08-17T07:05:44Z,US,4.611,3.933,5.289,4.936,4.552,4.173
2026-08-24T07:07:53Z,US,4.611,3.933,5.289,4.936,4.551,4.173
2026-08-31T13:14:13Z,US,4.610,3.932,5.289,4.936,4.551,4.173
2026-09-07T12:05:11Z,US,4.611,3.932,5.289,4.936,4.551,4.173
